PKey,SOL,geometry
1008,36,76.8688388621,26.5811492571 76.8688388621,26.5631829514 76.9047714735,26.5631829514 76.9047714735,26.5811492571 76.8688388621,26.5811492571
1008,29,76.5454453598,26.5721661043 76.5454453598,26.5541997986 76.5634116655,26.5541997986 76.5634116655,26.5721661043 76.5454453598,26.5721661043
1008,279,76.6891758053,26.5092840344 76.6891758053,26.4643682702 76.7520578752,26.4643682702 76.7520578752,26.5092840344 76.6891758053,26.5092840344
1008,21,76.4556138314,26.302671519 76.4556138314,26.2847052133 76.4735801371,26.2847052133 76.4735801371,26.302671519 76.4556138314,26.302671519
1008,11,76.311883386,26.2577557548 76.311883386,26.248772602 76.3298496916,26.248772602 76.3298496916,26.2577557548 76.311883386,26.2577557548
1008,14,76.3567991502,26.1140253094 76.3567991502,26.1050421565 76.365782303,26.1050421565 76.365782303,26.1140253094 76.3567991502,26.1140253094
1008,15,76.590361124,26.0152106281 76.590361124,26.0062274753 76.6083274297,26.0062274753 76.6083274297,26.0152106281 76.590361124,26.0152106281
1008,196,76.3298496916,26.0421600866 76.3298496916,25.9882611696 76.3927317615,25.9882611696 76.3927317615,26.0421600866 76.3298496916,26.0421600866
1008,12,76.4466306786,25.9163959468 76.4466306786,25.9163959468 76.4645969843,25.9163959468 76.4645969843,25.9163959468 76.4466306786,25.9163959468
1009,14,77.5425753252,28.6293081049 77.5425753252,28.6113417992 77.5605416309,28.6113417992 77.5605416309,28.6293081049 77.5425753252,28.6293081049
1009,14,77.5874910894,28.3777798253 77.5874910894,28.3598135197 77.6054573951,28.3598135197 77.6054573951,28.3777798253 77.5874910894,28.3777798253
1009,14852,77.3000301985,28.6832070219 77.3000301985,28.2879482969 77.668339465,28.2879482969 77.668339465,28.6832070219 77.3000301985,28.6832070219
1009,94,77.551558478,28.1532010043 77.551558478,28.1082852401 77.5785079366,28.1082852401 77.5785079366,28.1532010043 77.551558478,28.1532010043
101,20,74.2637245382,34.4144585346 74.2637245382,34.4054753818 74.2816908438,34.4054753818 74.2816908438,34.4144585346 74.2637245382,34.4144585346
1010,272,87.5318412846,25.5930024446 87.5318412846,25.512154069 87.5857402017,25.512154069 87.5857402017,25.5930024446 87.5318412846,25.5930024446
1019,14,88.133712525,23.6616245837 88.133712525,23.643658278 88.1426956778,23.643658278 88.1426956778,23.6616245837 88.133712525,23.6616245837
1019,62,88.3493081932,23.4280626098 88.3493081932,23.3921299985 88.3852408045,23.3921299985 88.3852408045,23.4280626098 88.3493081932,23.4280626098
1019,181,88.4660891801,23.4370457627 88.4660891801,23.3651805399 88.5110049443,23.3651805399 88.5110049443,23.4370457627 88.4660891801,23.4370457627
1019,14,88.6277859312,23.3472142343 88.6277859312,23.3292479286 88.6367690841,23.3292479286 88.6367690841,23.3472142343 88.6277859312,23.3472142343
1019,41,88.4032071102,23.2663658587 88.4032071102,23.2394164002 88.4481228744,23.2394164002 88.4481228744,23.2663658587 88.4032071102,23.2663658587
1019,152,88.5469375557,23.2034837888 88.5469375557,23.1495848718 88.5918533199,23.1495848718 88.5918533199,23.2034837888 88.5469375557,23.2034837888
1019,70,88.5110049443,23.1136522604 88.5110049443,23.0687364962 88.5469375557,23.0687364962 88.5469375557,23.1136522604 88.5110049443,23.1136522604
1019,14,88.5379544028,22.9699218149 88.5379544028,22.9519555093 88.5469375557,22.9519555093 88.5469375557,22.9699218149 88.5379544028,22.9699218149
1019,757,88.4032071102,23.0148375791 88.4032071102,22.9339892036 88.5379544028,22.9339892036 88.5379544028,23.0148375791 88.4032071102,23.0148375791
102,51,75.9076415081,32.6268111192 75.9076415081,32.5998616607 75.9256078138,32.5998616607 75.9256078138,32.6268111192 75.9076415081,32.6268111192
102,14,76.1142540234,32.5729122022 76.1142540234,32.5549458965 76.1322203291,32.5549458965 76.1322203291,32.5729122022 76.1142540234,32.5729122022
102,22,75.9435741195,32.5549458965 75.9435741195,32.5369795908 75.970523578,32.5369795908 75.970523578,32.5549458965 75.9435741195,32.5549458965
102,19,76.1322203291,32.5369795908 76.1322203291,32.527996438 76.141203482,32.527996438 76.141203482,32.5369795908 76.1322203291,32.5369795908
1020,57,85.5914802709,23.814338182 85.5914802709,23.7873887235 85.6274128823,23.7873887235 85.6274128823,23.814338182 85.5914802709,23.814338182
1020,1145,85.7980927863,23.8323044877 85.7980927863,23.7514561121 86.0675873715,23.7514561121 86.0675873715,23.8323044877 85.7980927863,23.8323044877
1020,76,85.7352107164,23.760439265 85.7352107164,23.7245066536 85.7621601749,23.7245066536 85.7621601749,23.760439265 85.7352107164,23.760439265
1020,388,86.0855536772,23.7873887235 86.0855536772,23.7245066536 86.1843683584,23.7245066536 86.1843683584,23.7873887235 86.0855536772,23.7873887235
1020,42,86.3280988039,23.7065403479 86.3280988039,23.6795908894 86.3550482624,23.6795908894 86.3550482624,23.7065403479 86.3280988039,23.7065403479
1020,22,86.3640314153,23.7065403479 86.3640314153,23.6795908894 86.3819977209,23.6795908894 86.3819977209,23.7065403479 86.3640314153,23.7065403479
1020,11,85.6184297294,23.6346751252 85.6184297294,23.6256919723 85.6274128823,23.6256919723 85.6274128823,23.6346751252 85.6184297294,23.6346751252
1020,1555,86.0047053016,23.7424729593 86.0047053016,23.6167088195 86.1933515113,23.6167088195 86.1933515113,23.7424729593 86.0047053016,23.7424729593
1020,255,86.2741998868,23.6616245837 86.2741998868,23.6167088195 86.3101324982,23.6167088195 86.3101324982,23.6616245837 86.2741998868,23.6616245837
1021,16,86.5436944721,20.589386312 86.5436944721,20.5804031592 86.5616607778,20.5804031592 86.5616607778,20.589386312 86.5436944721,20.589386312
1021,62,86.3909808738,20.5175210893 86.3909808738,20.4905716308 86.4269134851,20.4905716308 86.4269134851,20.5175210893 86.3909808738,20.5175210893
1022,17,81.5939772566,21.9188929325 81.5939772566,21.9009266268 81.6119435623,21.9009266268 81.6119435623,21.9188929325 81.5939772566,21.9188929325
1022,11,81.3244826713,21.8110950984 81.3244826713,21.7931287927 81.3334658242,21.7931287927 81.3334658242,21.8110950984 81.3244826713,21.8110950984
1022,48,81.5221120338,21.7392298757 81.5221120338,21.7032972643 81.5400783395,21.7032972643 81.5400783395,21.7392298757 81.5221120338,21.7392298757
1022,16,81.3065163657,21.6763478058 81.3065163657,21.6583815001 81.3154995185,21.6583815001 81.3154995185,21.6763478058 81.3065163657,21.6763478058
1022,18,81.3963478941,21.4158363734 81.3963478941,21.3978700677 81.4053310469,21.3978700677 81.4053310469,21.4158363734 81.3963478941,21.4158363734
1022,17,81.6119435623,21.3978700677 81.6119435623,21.379903762 81.6299098679,21.379903762 81.6299098679,21.3978700677 81.6119435623,21.3978700677
1022,26,81.342448977,21.3888869149 81.342448977,21.3709206092 81.3514321299,21.3709206092 81.3514321299,21.3888869149 81.342448977,21.3888869149
1022,114,81.3873647412,21.3888869149 81.3873647412,21.3529543035 81.459229964,21.3529543035 81.459229964,21.3888869149 81.3873647412,21.3888869149
1022,40,81.2975332128,21.2810890808 81.2975332128,21.2451564694 81.3154995185,21.2451564694 81.3154995185,21.2810890808 81.2975332128,21.2810890808
1022,29,81.5760109509,21.2271901637 81.5760109509,21.2092238581 81.6029604094,21.2092238581 81.6029604094,21.2271901637 81.5760109509,21.2271901637
1022,119,81.1897353787,21.2092238581 81.1897353787,21.1822743995 81.2256679901,21.1822743995 81.2256679901,21.2092238581 81.1897353787,21.2092238581
1022,3518,81.2436342958,21.2900722336 81.2436342958,21.1463417882 81.5310951867,21.1463417882 81.5310951867,21.2900722336 81.2436342958,21.2900722336
1022,13,81.5310951867,21.0475271069 81.5310951867,21.0385439541 81.5490614924,21.0385439541 81.5490614924,21.0475271069 81.5310951867,21.0475271069
1022,22,81.1897353787,20.7420999103 81.1897353787,20.7241336046 81.2077016844,20.7241336046 81.2077016844,20.7420999103 81.1897353787,20.7420999103
1022,114,81.0280386276,20.5983694649 81.0280386276,20.5714200063 81.0999038503,20.5714200063 81.0999038503,20.5983694649 81.0280386276,20.5983694649
