,PKey,avg_rad,cf_cvg,centroid
79,122,7.7881944766529205,9.02467986242965,[82.519242 23.329248]
80,122,5.279810605641357,8.0,[82.5596662  23.26636567]
81,122,7.265261792784435,8.337191252353225,[76.6667179  25.75919076]
82,123,1.7047077386741636,10.0,[77.04850195 25.49867957]
83,123,1.8599495795538044,9.0,[76.6891758  25.67834629]
84,123,7.564737641048127,9.730926294654225,[76.65324315 25.69630892]
85,123,3.9945106125789116,10.0,[76.65324315 25.49867957]
86,123,2.593387394368781,11.59414681892316,[77.36291225 26.0601264 ]
87,123,4.978904624470884,8.66471632051202,[70.07757535 22.9878882 ]
88,124,2.9893825471316666,13.0,[69.85748805 23.25289167]
89,124,7.535613429052917,11.38747592779446,[69.73172395 23.21246681]
90,124,1.5222057265825533,11.0,[68.56391405 23.39662116]
91,124,2.6086337555864216,13.0,[68.5728972  23.50441941]
92,124,5.1548352536800595,13.667296499807797,[70.1943563 23.3202648]
93,124,2.7241258840085916,12.51995997363713,[71.01182325 24.63629686]
94,124,2.060794347380846,12.0,[68.64925405 23.78289694]
95,124,4.898568696260831,12.197188153601589,[68.9591728  23.51340267]
96,124,6.620235968696824,14.0,[68.81544235 23.73798152]
97,124,0.15764205844125648,14.0,[68.77950975 23.68857278]
98,124,6.255839316377649,14.0,[68.6941698  23.44153711]
99,124,4.3503082222253315,13.72362164203644,[69.22866735 23.82781291]
100,124,0.7038444614156791,14.0,[69.5251114  22.89356501]
101,124,8.79932009343145,12.041512764160982,[70.64351395 23.57628445]
102,124,4.341597536011843,12.0,[70.09554165 22.9250061 ]
103,124,2.1142725970851908,13.0,[68.63128775 23.4190795 ]
104,124,7.911119416617106,14.0,[69.66884185 23.26636631]
105,124,4.184942614753834,11.65289337005127,[70.1224911 23.100184 ]
106,124,4.2058660404648345,12.521811309271412,[70.61656445 23.3651806 ]
107,124,2.6423606167548077,12.7425894459434,[70.58063185 23.35170601]
108,124,4.735157113091015,13.0,[70.39647725 23.29780743]
109,124,3.297141423461102,13.0,[68.62679615 23.34272266]
110,124,11.846944758985229,11.107115860483566,[69.90240385 23.04627974]
111,124,2.6238844639506342,11.74233004460971,[69.97876065 23.27085725]
112,124,11.366433443161055,11.89155523994897,[70.33808675 23.29331583]
113,124,3.3781386249019962,13.0,[69.3499399  22.83517536]
114,124,4.821694690133162,12.948352376470822,[69.6823166  22.91602515]
115,124,5.5552201075984025,11.862693988957059,[69.53858615 22.80373579]
116,124,10.585650720113625,11.300453288900751,[70.48630875 23.31577588]
117,124,4.557628720764757,13.0,[69.69129975 22.80821871]
118,124,10.93868450403022,11.861480307451009,[68.71213605 23.69306581]
119,124,3.684876897463686,14.0,[70.2707131  23.25289297]
120,124,3.82914834275746,13.0,[70.98038215 20.724134  ]
121,125,4.9275484207020765,11.950143378279257,[70.93097485 20.71964224]
122,125,2.5040390323092443,12.0,[73.0734568  20.13124543]
123,126,5.603949232920086,13.0,[72.98811685 20.20759379]
124,126,4.615259575559518,12.546797554586568,[73.0554905  20.31540027]
125,126,7.959394397404716,12.582727999794713,[74.46584545 21.5505835 ]
126,127,4.950873158674202,13.0,[74.01668785 21.55956721]
127,127,3.975524187953416,13.0,[74.24126665 21.37541255]
128,127,6.815736744870101,13.0,[79.47844475 18.99038548]
129,128,4.056339862153297,9.856467808327311,[79.17301755 19.29132076]
130,128,1.8281158739403323,10.010241011632452,[78.3465675  19.09818361]
131,128,6.523996851026404,9.604251159735327,[77.9647835  19.11614996]
132,128,4.436066073348238,8.211459011764706,[79.46497005 18.86911706]
133,128,3.0392095788178723,9.229464150347368,[79.78836355 18.86012958]
134,128,3.760223658913807,11.0,[78.52173895 19.67759726]
135,128,6.1608257181754595,9.907442769836907,[79.34369745 19.03530118]
136,128,6.0528726133498365,9.0,[79.20895015 19.28233805]
137,128,3.4763662802756694,9.342745461280778,[77.94681725 18.88258731]
138,128,2.8211275356664234,9.205992156862749,[79.5682763  18.83767134]
