system:index,PKey,nl_intensity,geometry
780,1328.0,"{avg_rad=5.857966300573795, cf_cvg=12.070203338602044}","{""geodesic"":true,""type"":""Point"",""coordinates"":[83.22891110000081,17.70133554259535]}"
803,133.0,"{avg_rad=11.186220132767929, cf_cvg=11.430215235213305}","{""geodesic"":true,""type"":""Point"",""coordinates"":[80.19260544999972,13.182783153023596]}"
2986,333.0,"{avg_rad=9.021846403939614, cf_cvg=11.524620420336099}","{""geodesic"":true,""type"":""Point"",""coordinates"":[80.06234970000041,12.926772612611554]}"
816,1333.0,"{avg_rad=4.159707346417927, cf_cvg=10.243367845607654}","{""geodesic"":true,""type"":""Point"",""coordinates"":[78.74182624999936,10.81572679021358]}"
4062,733.0,"{avg_rad=5.465935825159353, cf_cvg=10.8252769324332}","{""geodesic"":true,""type"":""Point"",""coordinates"":[78.1399550000003,11.66914383009168]}"
2188,2329.0,"{avg_rad=9.472628884711183, cf_cvg=10.844141196918999}","{""geodesic"":true,""type"":""Point"",""coordinates"":[76.62629369999975,12.31592079131542]}"
4191,829.0,"{avg_rad=3.6034325936485763, cf_cvg=10.245850320243129}","{""geodesic"":true,""type"":""Point"",""coordinates"":[75.06771675000063,15.406118065386096]}"
3272,428.0,"{avg_rad=7.091288591446962, cf_cvg=11.10846549937435}","{""geodesic"":true,""type"":""Point"",""coordinates"":[78.23427809999946,17.526161874065313]}"
4357,927.0,"{avg_rad=7.188629432579611, cf_cvg=8.301013216786943}","{""geodesic"":true,""type"":""Point"",""coordinates"":[79.09216919999994,21.18230048764061]}"
2329,2524.0,"{avg_rad=5.507750760798994, cf_cvg=12.403219972034321}","{""geodesic"":true,""type"":""Point"",""coordinates"":[72.80845380000014,21.24069307816899]}"
2243,2424.0,"{avg_rad=3.6172877827938734, cf_cvg=12.895805621126916}","{""geodesic"":true,""type"":""Point"",""coordinates"":[72.93870950000102,20.40522035156313]}"
2024,2227.0,"{avg_rad=18.99321959297929, cf_cvg=11.636246539387276}","{""geodesic"":true,""type"":""Point"",""coordinates"":[72.88031899999916,19.125117099162615]}"
2251,2427.0,"{avg_rad=12.653338122211066, cf_cvg=11.319735869298935}","{""geodesic"":true,""type"":""Point"",""coordinates"":[73.03752420000048,18.976930520072404]}"
328,116.0,"{avg_rad=6.629786100466364, cf_cvg=12.032905181699354}","{""geodesic"":true,""type"":""Point"",""coordinates"":[91.27781600000195,23.84127501080058]}"
